,shifted_resources_per_slot
10,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 3 3 3 3 2 2 2 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
11,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  5 10 10 10 15 21 21 30 30 33 33 44 49 52 59 64 69 75 77 83 83 83 83 83 84 84 85 88 88 88 88 88 88 88 88 88 83 78 78 78 73 67 67 58 58 55 55 44 39 36 29 24 19 13 11  5  5  5  5  5  4  4  3  0  0  0  0  0  0  0  0  0]
12,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 16 16 16 19 24 24 24 30 30 35 42 47 47 53 62 67 68 72 75 75 75 76 76 76 77 80 80 80 80 80 80 80 80 80 80 80 64 64 64 61 56 56 56 50 50 45 38 33 33 27 18 13 12  8  5  5  5  4  4  4  3  0  0  0  0  0  0  0  0  0  0  0]
13,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  9 10 12 12 20 20 22 22 30 30 36 51 53 53 60 61 64 66 68 68 74 74 75 75 75 75 75 78 78 78 78 78 78 78 78 78 69 68 66 66 58 58 56 56 48 48 42 27 25 25 18 17 14 12 10 10  4  4  3  3  3  3  3  0  0  0  0  0  0  0  0  0]
14,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  9  9  9  9 14 18 21 21 21 31 37 44 46 46 52 56 61 61 68 71 71 71 75 75 75 76 79 79 79 79 79 79 79 79 79 79 70 70 70 70 65 61 58 58 58 48 42 35 33 33 27 23 18 18 11  8  8  8  4  4  4  3  0  0  0  0  0  0  0  0  0  0]
15,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  5  5 17 20 25 28 29 29 31 36 46 46 46 47 60 63 70 70 71 71 72 72 73 73 73 76 76 76 76 76 76 76 76 76 76 76 71 71 59 56 51 48 47 47 45 40 30 30 30 29 16 13  6  6  5  5  4  4  3  3  3  0  0  0  0  0  0  0  0  0  0  0]
16,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 4 4 4 4 3 3 3 3 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
17,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 3 3 2 2 2 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  7 11 11 11 13 19 20 31 31 33 33 42 51 58 61 64 72 78 84 85 85 85 85 85 88 89 89 91 91 91 91 91 91 91 91 91 84 80 80 80 78 72 71 60 60 58 58 49 40 33 30 27 19 13  7  6  6  6  6  6  3  2  2  0  0  0  0  0  0  0  0  0]
19,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 16 16 16 16 28 28 28 28 31 36 42 48 49 54 63 70 70 75 78 78 78 79 79 79 79 79 79 82 82 82 82 82 82 82 82 82 66 66 66 66 54 54 54 54 51 46 40 34 33 28 19 12 12  7  4  4  4  3  3  3  3  3  3  0  0  0  0  0  0  0  0  0]
20,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  9  9  9 16 21 21 23 23 30 40 40 52 54 54 58 62 65 68 70 73 75 75 76 76 76 76 80 80 80 80 80 80 80 80 80 80 71 71 71 64 59 59 57 57 50 40 40 28 26 26 22 18 15 12 10  7  5  5  4  4  4  4  0  0  0  0  0  0  0  0  0  0]
21,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 10 10 10 10 15 20 20 22 22 33 39 46 47 47 55 59 62 63 71 73 73 73 77 77 77 78 81 81 81 81 81 81 81 81 81 81 71 71 71 71 66 61 61 59 59 48 42 35 34 34 26 22 19 18 10  8  8  8  4  4  4  3  0  0  0  0  0  0  0  0  0  0]
22,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  6 15 19 29 32 32 32 33 35 43 45 46 51 55 69 72 72 74 74 75 75 76 76 76 76 76 79 79 79 79 79 79 79 79 79 73 73 64 60 50 47 47 47 46 44 36 34 33 28 24 10  7  7  5  5  4  4  3  3  3  3  3  0  0  0  0  0  0  0  0  0]
23,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 3 3 3 3 4 4 4 5 5 5 6 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 5 5 5 5 5 5 5 5 5 4 4 4 3 3 3 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0]
24,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 6 6 6 6 6 6 6 6 6 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0]
25,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   6  12  12  12  19  22  22  36  36  36  36  37  57  66  67  76  81  89  95  98  98  98  98  98 100 101 101 104 104 104 104 104 104 104 104 104  98  92  92  92  85  82  82  68  68  68  68  67  47  38  37  28  23  15   9   6   6   6   6   6   4   3   3   0   0   0   0   0   0   0   0   0]
26,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 19 19 19 19 28 28 31 35 35 42 42 57 57 64 74 80 82 87 91 91 91 93 93 93 96 96 96 96 96 96 96 96 96 96 96 96 77 77 77 77 68 68 65 61 61 54 54 39 39 32 22 16 14  9  5  5  5  3  3  3  0  0  0  0  0  0  0  0  0  0  0  0]
27,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12 13 16 19 24 25 25 25 36 36 47 47 64 64 68 73 79 79 82 86 90 90 90 90 90 90 94 94 94 94 94 94 94 94 94 94 82 81 78 75 70 69 69 69 58 58 47 47 30 30 26 21 15 15 12  8  4  4  4  4  4  4  0  0  0  0  0  0  0  0  0  0]
28,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12 12 12 12 17 24 24 27 27 40 45 56 58 58 64 72 76 84 84 89 89 89 92 95 95 95 99 99 99 99 99 99 99 99 99 99 87 87 87 87 82 75 75 72 72 59 54 43 41 41 35 27 23 15 15 10 10 10  7  4  4  4  0  0  0  0  0  0  0  0  0  0]
29,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   7  11  20  33  38  38  38  39  39  52  54  64  65  70  83  91  91  91  94  94  97  98  98  99  99  99 104 104 104 104 104 104 104 104 104  97  97  93  84  71  66  66  66  65  65  52  50  40  39  34  21  13  13  13  10  10   7   6   6   5   5   5   0   0   0   0   0   0   0   0   0]
30,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  4  4  6  6  6  6  6  6  6  7  7  8  9  9  9  9 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11  8  7  7  5  5  5  5  5  5  5  4  4  3  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
