,shifted_resources_per_slot
14,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   3   3   3   3   3   3   5   7   8   8  13  20  20  20  20  20  44  86 128 128 128 128 128 128 128 128 128 126 126 126 126 126 126 126 126 126 125 125 125 125 125 125 123 121 120 120 115 108 108 108 108 108  84  42   0   0   0   0   0   0   0   0   0]
15,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   5   5   5  16  16  16  16  16  16  21  36  78 120 120 120 120 120 120 120 120 120 120 120 120 120 118 118 118 118 118 118 118 118 118 118 118 115 115 115 104 104 104 104 104 104  99  84  42   0   0   0   0   0   0   0   0   0]
16,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2  2  2  3  3  3  4  4  4  4  4  4 13 13 13 13 13 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 11 11 10 10 10  9  9  9  9  9  9  0  0  0  0  0  0  0  0  0]
17,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 3 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 6 5 5 5 5 0 0 0 0 0 0 0 0 0]
18,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   4   4   4   4   4   6   7   7  14  14  14  14  14  14  49  91 133 133 133 133 133 133 133 133 133 132 132 132 132 132 132 132 132 132 132 132 129 129 129 129 129 127 126 126 119 119 119 119 119 119  84  42   0   0   0   0   0   0   0   0   0]
19,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   3   3   4   4   4   5  10  10  10  16  16  16  16  16  16  32  53  95 137 137 137 137 137 137 137 137 137 135 135 135 135 135 135 135 135 135 134 134 133 133 133 132 127 127 127 121 121 121 121 121 121 105  84  42   0   0   0   0   0   0   0   0   0]
20,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   5   7   7   7  15  16  16  16  16  18  43  85 127 127 127 127 127 127 127 127 127 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 122 120 120 120 112 111 111 111 111 109  84  42   0   0   0   0   0   0   0   0   0]
21,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   3   3   3   3   3   3   5   8   8  12  13  22  22  22  22  22  35  77 119 119 119 119 119 119 119 119 119 117 117 117 117 117 117 117 117 117 116 116 116 116 116 116 114 111 111 107 106  97  97  97  97  97  84  42   0   0   0   0   0   0   0   0   0]
22,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   2   4   4   4   7  15  15  15  15  15  23  44  86 128 128 128 128 128 128 128 128 128 128 128 128 126 126 126 126 126 126 126 126 126 126 126 126 124 124 124 121 113 113 113 113 113 105  84  42   0   0   0   0   0   0   0   0   0]
23,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  2  2  2  2  3  3  3  3  3  3  4  4  4  4  5 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 13 13 13 13 13 12 12 12 12 11 11 11 11 11 11 10 10 10 10  9  0  0  0  0  0  0  0  0  0]
24,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 0 0 0 0 0 0 0 0 0]
25,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   4   4   4   4   4   5   5   5   7   8  16  16  19  24  66 108 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 147 146 146 146 146 146 145 145 145 143 142 134 134 131 126  84  42   0   0   0   0   0   0   0   0   0]
26,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   3   4   4   4   4   4  12  12  19  19  19  19  19  19  19  37  74 116 158 158 158 158 158 158 158 158 158 158 156 156 156 156 156 156 156 156 155 154 154 154 154 154 146 146 139 139 139 139 139 139 139 121  84  42   0   0   0   0   0   0   0   0   0]
27,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   5  12  12  18  18  19  19  19  19  23  65 107 149 149 149 149 149 149 149 149 149 147 147 147 147 147 147 147 147 147 147 147 147 147 147 147 144 137 137 131 131 130 130 130 130 126  84  42   0   0   0   0   0   0   0   0   0]
28,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   3   3   3   3   6   6   6   8   9   9  15  26  26  26  26  26  61 103 145 145 145 145 145 145 145 145 145 143 143 143 143 143 143 143 143 143 142 142 142 142 139 139 139 137 136 136 130 119 119 119 119 119  84  42   0   0   0   0   0   0   0   0   0]
29,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2  18  18  18  18  18  41  83 125 167 167 167 167 167 167 167 167 167 165 165 165 165 165 165 165 165 165 165 165 165 165 165 165 165 165 165 165 149 149 149 149 149 126  84  42   0   0   0   0   0   0   0   0   0]
30,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  2  2  2  2  2  3  3  4  5  6  6  6  6  6  6  9 12 22 22 22 22 22 22 22 22 22 22 22 22 22 21 21 21 21 21 21 20 20 20 20 20 19 19 18 17 16 16 16 16 16 16 13 10  0  0  0  0  0  0  0  0  0]
