,shifted_resources_per_slot
14,[ 11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  51  48  45  49  69  90  93 105 105 159 160 216 228 228 246 274 299 322 322 351 353 353 355 373 375 381 386 389 389 389 389 389 389 389 389 389 346 346 346 342 322 299 296 284 284 230 229 173 161 161 143 115  90  67  67  38  36  36  34  16  17  14  12   9   9  11  11  11  11  11  11  11]
15,[  9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9  26  25  45  59 129 129 140 140 157 172 202 218 218 218 257 291 320 329 344 344 344 345 353 353 354 358 358 361 361 361 361 361 361 361 361 361 338 338 318 303 232 232 221 221 204 189 159 143 143 143 104  70  41  32  17  17  17  16   8   8  13  10  10   8   9   9   9   9   9   9   9   9]
16,[ 4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  9  9  9 10 11 11 13 13 16 16 17 18 21 23 24 25 29 30 30 30 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 24 24 24 23 22 22 20 20 17 17 16 15 12 10  9  8  4  3  3  3  1  1  1  1  5  5  4  4  4  4  4  4  4  4  4  4]
17,[ 3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  4  6  6  6  6  6  7  8  8  8 10 11 12 13 14 14 18 18 18 18 18 18 19 19 19 20 21 23 23 23 23 23 23 23 23 23 19 17 17 17 17 17 16 15 15 15 13 12 11 10  9  9  5  5  5  5  5  5  4  4  7  6  5  3  3  3  3  3  3  3  3  3]
18,[ 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  27  54  53  53  69  93  95 156 156 162 162 225 249 285 302 328 352 367 418 424 424 424 424 424 437 440 443 448 448 448 448 448 448 448 448 448 424 397 397 397 379 355 353 292 292 286 286 223 199 163 146 120  96  81  30  24  24  24  24  24  18  15  13   8  10  10  10  10  10  10  10  10]
19,[ 11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  80  80  76  98 122 122 122 156 156 181 181 238 243 267 283 348 348 364 384 387 388 389 389 389 398 406 406 406 406 406 406 406 406 406 406 406 330 330 330 308 284 284 284 250 250 225 225 168 163 139 123  58  58  42  22  19  18  17  17  17  15   7  11  11  11  11  11  11  11  11  11  11]
20,[ 12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  43  43  61  74 101 101 114 114 154 190 190 260 270 270 290 332 332 336 346 363 363 384 384 384 384 389 389 396 396 396 396 396 396 396 396 396 356 356 335 322 295 295 282 282 242 206 206 136 126 126 106  64  64  60  50  33  33  12  12  12  21  16  19  12  12  12  12  12  12  12  12  12]
21,[ 11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  51  48  45  45  71  93  94 104 108 165 176 221 233 233 253 283 308 332 332 364 364 364 383 385 385 393 398 401 401 401 401 401 401 401 401 401 358 358 358 358 332 308 307 297 293 236 225 180 168 168 148 118  93  69  69  37  37  37  18  16  19  14  12   9   9  11  11  11  11  11  11  11]
22,[  9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9  30  27  48  65  82  82 152 152 152 185 220 239 239 267 327 342 350 370 370 375 375 375 388 388 388 388 389 392 392 392 392 392 392 392 392 392 366 366 345 327 310 310 240 240 240 207 172 153 153 125  65  50  42  22  22  17  17  17   4   4   9  12  11   9   9   9   9   9   9   9   9   9]
23,[ 4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  9 10 10 10 12 12 13 14 14 16 17 19 21 23 25 27 29 30 30 30 30 30 32 33 33 33 33 34 34 34 34 34 34 34 34 34 25 24 24 24 22 22 21 20 20 18 17 15 13 11  9  7  5  4  4  4  4  4  2  1  5  5  5  4  4  4  4  4  4  4  4  4]
24,[ 3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  6  6  6  6  6  6  8  8  9  9 11 12 13 14 14 14 15 17 18 18 18 18 21 21 21 22 23 25 25 25 25 25 25 25 25 25 19 19 19 19 19 19 17 17 16 16 14 13 12 11 11 11 10  8  7  7  7  7  4  4  7  6  5  3  3  3  3  3  3  3  3  3]
25,[ 12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  30  60  60  60  78 106 106 178 179 194 194 260 287 305 347 377 402 444 451 486 486 486 486 486 505 505 509 516 516 516 516 516 516 516 516 516 489 459 459 459 438 410 410 338 337 322 322 256 229 211 169 139 114  72  65  30  30  30  30  30  20  20  16   9  12  12  12  12  12  12  12  12]
26,[ 12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  92  92  92 114 139 143 143 180 180 201 245 274 280 302 362 400 401 420 446 446 446 449 449 449 460 467 467 469 469 469 469 469 469 469 469 469 381 381 377 355 330 326 326 289 289 268 224 195 189 167 107  69  68  49  23  23  23  20  20  20  17  10  14  12  12  12  12  12  12  12  12  12]
27,[ 13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  50  53  62  76 119 119 134 184 184 184 228 286 317 317 363 364 390 390 403 423 449 454 454 454 454 454 461 461 461 461 461 461 461 461 461 461 413 410 399 385 342 342 327 277 277 277 233 175 144 144  98  97  71  71  58  38  12   7   7   7  18  18  13  13  13  13  13  13  13  13  13  13]
28,[ 13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  63  60  55  55  85 115 127 127 133 203 218 287 287 287 309 361 376 384 404 441 444 445 466 469 472 479 486 488 488 488 488 488 488 488 488 488 434 434 434 434 404 373 361 361 355 285 270 201 201 201 179 127 112 104  84  47  44  43  22  19  20  16  14  12  12  13  13  13  13  13  13  13]
29,[ 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  34  33  56  84  80  88 183 183 195 195 268 268 268 322 350 412 446 446 453 466 466 481 491 494 494 494 500 516 516 516 516 516 516 516 516 516 487 487 464 436 436 428 333 333 321 321 248 248 248 194 166 104  70  70  63  50  50  35  25  22  32  33  27  11  15  15  15  15  15  15  15  15]
30,[ 6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6 13 14 21 22 21 24 24 25 25 30 31 34 34 38 38 38 39 45 45 45 45 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 36 35 28 27 27 24 24 23 23 18 17 14 14 10 10 10  9  3  3  3  3  0  0  0  5  5  5  5  6  6  6  6  6  6  6  6]
