tc,call_volume,aht,service_level,art,positions,positions_quantile,resources_shifts
2022-12-02 09:30:00+03:00,567,470,80,30,308,62,52
2022-12-02 09:45:00+03:00,584,476,80,30,321,65,63
2022-12-02 10:00:00+03:00,595,523,80,30,358,72,66
2022-12-02 10:15:00+03:00,615,495,80,30,351,71,70
2022-12-02 10:30:00+03:00,639,418,80,30,308,62,70
2022-12-02 10:45:00+03:00,642,437,80,30,323,65,70
2022-12-02 11:00:00+03:00,638,432,80,30,318,64,71
2022-12-02 11:15:00+03:00,622,422,80,30,303,61,71
2022-12-02 11:30:00+03:00,605,516,80,30,360,72,72
2022-12-02 11:45:00+03:00,594,544,80,30,372,75,72
2022-12-02 12:00:00+03:00,598,573,80,30,394,79,72
2022-12-02 12:15:00+03:00,590,510,80,30,347,70,72
2022-12-02 12:30:00+03:00,598,439,80,30,303,61,72
2022-12-02 12:45:00+03:00,571,433,80,30,286,58,75
2022-12-02 13:00:00+03:00,569,471,80,30,309,62,75
2022-12-02 13:15:00+03:00,577,500,80,30,333,67,75
2022-12-02 13:30:00+03:00,576,471,80,30,313,63,75
2022-12-02 13:45:00+03:00,575,384,80,30,256,52,75
2022-12-02 14:00:00+03:00,571,401,80,30,265,53,75
2022-12-02 14:15:00+03:00,563,417,80,30,272,55,75
2022-12-02 14:30:00+03:00,564,428,80,30,279,56,75
2022-12-02 14:45:00+03:00,542,457,80,30,287,58,75
2022-12-02 15:00:00+03:00,558,497,80,30,320,64,69
2022-12-02 15:15:00+03:00,528,571,80,30,348,70,69
2022-12-02 15:30:00+03:00,510,491,80,30,290,58,60
2022-12-02 15:45:00+03:00,486,482,80,30,272,55,57
2022-12-02 16:00:00+03:00,477,410,80,30,227,46,47
2022-12-02 16:15:00+03:00,449,354,80,30,186,38,47
2022-12-02 16:30:00+03:00,442,430,80,30,221,45,46
2022-12-02 16:45:00+03:00,394,409,80,30,189,38,46
2022-12-02 17:00:00+03:00,377,456,80,30,201,41,44
2022-12-02 17:15:00+03:00,312,515,80,30,189,38,41
2022-12-02 17:30:00+03:00,276,448,80,30,147,30,35
2022-12-02 17:45:00+03:00,254,430,80,30,130,26,35
2022-12-02 18:00:00+03:00,227,381,80,30,104,21,31
2022-12-02 18:15:00+03:00,186,530,80,30,119,24,25
2022-12-02 18:30:00+03:00,165,231,80,30,48,10,23
2022-12-02 18:45:00+03:00,143,404,80,30,71,15,12
2022-12-02 19:00:00+03:00,124,186,80,30,30,6,9
2022-12-02 19:15:00+03:00,99,259,80,30,33,7,5
2022-12-02 19:30:00+03:00,91,595,80,30,68,14,5
2022-12-02 19:45:00+03:00,92,197,80,30,24,5,5
2022-12-02 20:00:00+03:00,74,642,80,30,60,12,4
2022-12-02 20:15:00+03:00,66,178,80,30,17,4,4
2022-12-02 20:30:00+03:00,58,185,80,30,15,3,3
2022-12-02 20:45:00+03:00,56,176,80,30,14,3,3
2022-12-02 21:00:00+03:00,48,196,80,30,14,3,3
2022-12-02 21:15:00+03:00,43,177,80,30,12,3,3
2022-12-02 21:30:00+03:00,39,185,80,30,11,3,3
2022-12-02 21:45:00+03:00,33,167,80,30,9,2,0
2022-12-02 22:00:00+03:00,35,191,80,30,10,2,0
2022-12-02 22:15:00+03:00,32,180,80,30,9,2,0
2022-12-02 22:30:00+03:00,24,206,80,30,8,2,0
2022-12-02 22:45:00+03:00,18,146,80,30,5,1,0
2022-12-02 23:00:00+03:00,19,160,80,30,6,2,0
2022-12-02 23:15:00+03:00,16,115,80,30,4,1,0
2022-12-02 23:30:00+03:00,11,273,80,30,6,2,0
2022-12-02 23:45:00+03:00,12,203,80,30,5,1,0
2022-12-03 00:00:00+03:00,8,179,80,30,4,1,0
2022-12-03 00:15:00+03:00,6,140,80,30,3,1,0
2022-12-03 00:30:00+03:00,7,289,80,30,5,1,0
2022-12-03 00:45:00+03:00,6,167,80,30,3,1,0
2022-12-03 01:00:00+03:00,4,167,80,30,2,1,0
2022-12-03 01:15:00+03:00,5,118,80,30,2,1,0
2022-12-03 01:30:00+03:00,6,145,80,30,3,1,0
2022-12-03 01:45:00+03:00,8,155,80,30,3,1,0
2022-12-03 02:00:00+03:00,10,181,80,30,4,1,0
2022-12-03 02:15:00+03:00,7,147,80,30,3,1,0
2022-12-03 02:30:00+03:00,6,60,80,30,2,1,0
2022-12-03 02:45:00+03:00,9,167,80,30,4,1,0
2022-12-03 03:00:00+03:00,9,138,80,30,3,1,0
2022-12-03 03:15:00+03:00,11,161,80,30,4,1,0
2022-12-03 03:30:00+03:00,10,144,80,30,4,1,0
2022-12-03 03:45:00+03:00,12,120,80,30,3,1,0
2022-12-03 04:00:00+03:00,19,128,80,30,5,1,0
2022-12-03 04:15:00+03:00,17,120,80,30,4,1,0
2022-12-03 04:30:00+03:00,21,129,80,30,5,1,0
2022-12-03 04:45:00+03:00,18,129,80,30,5,1,0
2022-12-03 05:00:00+03:00,25,155,80,30,7,2,0
2022-12-03 05:15:00+03:00,28,129,80,30,6,2,0
2022-12-03 05:30:00+03:00,27,126,80,30,6,2,0
2022-12-03 05:45:00+03:00,32,151,80,30,8,2,0
2022-12-03 06:00:00+03:00,37,146,80,30,9,2,2
2022-12-03 06:15:00+03:00,37,154,80,30,9,2,2
2022-12-03 06:30:00+03:00,38,148,80,30,9,2,2
2022-12-03 06:45:00+03:00,41,161,80,30,10,2,2
2022-12-03 07:00:00+03:00,43,160,80,30,11,3,3
2022-12-03 07:15:00+03:00,49,151,80,30,11,3,3
2022-12-03 07:30:00+03:00,53,158,80,30,12,3,3
2022-12-03 07:45:00+03:00,58,177,80,30,15,3,3
2022-12-03 08:00:00+03:00,71,162,80,30,16,4,3
2022-12-03 08:15:00+03:00,76,166,80,30,18,4,4
2022-12-03 08:30:00+03:00,80,167,80,30,18,4,4
2022-12-03 08:45:00+03:00,85,156,80,30,18,4,4
2022-12-03 09:00:00+03:00,92,165,80,30,21,5,4
2022-12-03 09:15:00+03:00,101,163,80,30,22,5,5
2022-12-03 09:30:00+03:00,116,156,80,30,24,5,5
2022-12-03 09:45:00+03:00,123,170,80,30,27,6,5
2022-12-03 10:00:00+03:00,129,158,80,30,27,6,6
2022-12-03 10:15:00+03:00,132,165,80,30,28,6,6
2022-12-03 10:30:00+03:00,137,159,80,30,28,6,7
2022-12-03 10:45:00+03:00,137,177,80,30,31,7,7
2022-12-03 11:00:00+03:00,137,174,80,30,31,7,7
2022-12-03 11:15:00+03:00,139,173,80,30,31,7,7
2022-12-03 11:30:00+03:00,139,167,80,30,30,6,7
2022-12-03 11:45:00+03:00,135,168,80,30,29,6,7
2022-12-03 12:00:00+03:00,133,178,80,30,31,7,7
2022-12-03 12:15:00+03:00,130,168,80,30,28,6,7
2022-12-03 12:30:00+03:00,129,165,80,30,28,6,7
2022-12-03 12:45:00+03:00,124,162,80,30,26,6,7
2022-12-03 13:00:00+03:00,121,157,80,30,25,5,7
2022-12-03 13:15:00+03:00,118,168,80,30,26,6,7
2022-12-03 13:30:00+03:00,117,162,80,30,25,5,7
2022-12-03 13:45:00+03:00,107,179,80,30,25,5,7
2022-12-03 14:00:00+03:00,105,175,80,30,24,5,7
2022-12-03 14:15:00+03:00,105,184,80,30,26,6,7
2022-12-03 14:30:00+03:00,98,175,80,30,23,5,7
2022-12-03 14:45:00+03:00,95,177,80,30,23,5,7
2022-12-03 15:00:00+03:00,93,162,80,30,20,4,5
2022-12-03 15:15:00+03:00,91,177,80,30,22,5,5
2022-12-03 15:30:00+03:00,93,167,80,30,21,5,5
2022-12-03 15:45:00+03:00,90,161,80,30,20,4,5
2022-12-03 16:00:00+03:00,83,150,80,30,17,4,4
2022-12-03 16:15:00+03:00,82,162,80,30,18,4,4
2022-12-03 16:30:00+03:00,76,170,80,30,18,4,4
2022-12-03 16:45:00+03:00,78,170,80,30,18,4,4
2022-12-03 17:00:00+03:00,66,160,80,30,15,3,4
2022-12-03 17:15:00+03:00,63,154,80,30,14,3,3
2022-12-03 17:30:00+03:00,58,167,80,30,14,3,3
2022-12-03 17:45:00+03:00,55,158,80,30,13,3,3
2022-12-03 18:00:00+03:00,52,161,80,30,12,3,3
2022-12-03 18:15:00+03:00,55,151,80,30,12,3,2
2022-12-03 18:30:00+03:00,52,162,80,30,12,3,2
2022-12-03 18:45:00+03:00,44,156,80,30,11,3,2
2022-12-03 19:00:00+03:00,44,175,80,30,12,3,1
2022-12-03 19:15:00+03:00,36,151,80,30,9,2,1
2022-12-03 19:30:00+03:00,38,151,80,30,9,2,0
2022-12-03 19:45:00+03:00,33,142,80,30,8,2,0
2022-12-03 20:00:00+03:00,36,155,80,30,9,2,0
2022-12-03 20:15:00+03:00,29,169,80,30,8,2,0
2022-12-03 20:30:00+03:00,31,184,80,30,9,2,0
2022-12-03 20:45:00+03:00,27,174,80,30,8,2,0
2022-12-03 21:00:00+03:00,28,175,80,30,8,2,0
2022-12-03 21:15:00+03:00,24,143,80,30,6,2,0
2022-12-03 21:30:00+03:00,20,244,80,30,8,2,0
2022-12-03 21:45:00+03:00,18,147,80,30,5,1,0
2022-12-03 22:00:00+03:00,18,128,80,30,5,1,0
2022-12-03 22:15:00+03:00,15,140,80,30,4,1,0
2022-12-03 22:30:00+03:00,17,164,80,30,5,1,0
2022-12-03 22:45:00+03:00,13,140,80,30,4,1,0
2022-12-03 23:00:00+03:00,9,126,80,30,3,1,0
2022-12-03 23:15:00+03:00,10,99,80,30,3,1,0
2022-12-03 23:30:00+03:00,8,203,80,30,4,1,0
2022-12-03 23:45:00+03:00,8,152,80,30,3,1,0
2022-12-04 00:00:00+03:00,9,219,80,30,4,1,0
2022-12-04 00:15:00+03:00,7,197,80,30,3,1,0
2022-12-04 00:30:00+03:00,5,83,80,30,2,1,0
2022-12-04 00:45:00+03:00,6,173,80,30,3,1,0
2022-12-04 01:00:00+03:00,4,78,80,30,2,1,0
2022-12-04 01:15:00+03:00,3,73,80,30,1,1,0
2022-12-04 01:30:00+03:00,6,169,80,30,3,1,0
2022-12-04 01:45:00+03:00,6,81,80,30,2,1,0
2022-12-04 02:00:00+03:00,4,180,80,30,2,1,0
2022-12-04 02:15:00+03:00,7,157,80,30,3,1,0
2022-12-04 02:30:00+03:00,5,246,80,30,3,1,0
2022-12-04 02:45:00+03:00,6,165,80,30,3,1,0
2022-12-04 03:00:00+03:00,7,247,80,30,4,1,0
2022-12-04 03:15:00+03:00,6,133,80,30,3,1,0
2022-12-04 03:30:00+03:00,6,109,80,30,2,1,0
2022-12-04 03:45:00+03:00,7,126,80,30,3,1,0
2022-12-04 04:00:00+03:00,8,109,80,30,3,1,0
2022-12-04 04:15:00+03:00,11,110,80,30,3,1,0
2022-12-04 04:30:00+03:00,9,93,80,30,3,1,0
2022-12-04 04:45:00+03:00,12,118,80,30,3,1,0
2022-12-04 05:00:00+03:00,15,64,80,30,3,1,0
2022-12-04 05:15:00+03:00,12,108,80,30,3,1,0
2022-12-04 05:30:00+03:00,15,105,80,30,4,1,0
2022-12-04 05:45:00+03:00,14,113,80,30,4,1,0
2022-12-04 06:00:00+03:00,14,101,80,30,3,1,1
2022-12-04 06:15:00+03:00,23,143,80,30,6,2,1
2022-12-04 06:30:00+03:00,21,144,80,30,6,2,1
2022-12-04 06:45:00+03:00,21,138,80,30,5,1,1
2022-12-04 07:00:00+03:00,27,131,80,30,6,2,1
2022-12-04 07:15:00+03:00,29,116,80,30,6,2,1
2022-12-04 07:30:00+03:00,32,142,80,30,8,2,1
2022-12-04 07:45:00+03:00,33,142,80,30,8,2,2
2022-12-04 08:00:00+03:00,40,141,80,30,9,2,2
2022-12-04 08:15:00+03:00,38,147,80,30,9,2,2
2022-12-04 08:30:00+03:00,43,160,80,30,11,3,2
2022-12-04 08:45:00+03:00,45,159,80,30,11,3,2
2022-12-04 09:00:00+03:00,54,154,80,30,12,3,2
2022-12-04 09:15:00+03:00,60,154,80,30,13,3,3
2022-12-04 09:30:00+03:00,69,150,80,30,15,3,3
2022-12-04 09:45:00+03:00,66,146,80,30,14,3,3
2022-12-04 10:00:00+03:00,70,142,80,30,14,3,4
2022-12-04 10:15:00+03:00,75,155,80,30,16,4,4
2022-12-04 10:30:00+03:00,76,147,80,30,16,4,4
2022-12-04 10:45:00+03:00,82,150,80,30,17,4,4
2022-12-04 11:00:00+03:00,82,148,80,30,17,4,4
2022-12-04 11:15:00+03:00,83,156,80,30,18,4,4
2022-12-04 11:30:00+03:00,89,169,80,30,20,4,4
2022-12-04 11:45:00+03:00,81,155,80,30,17,4,5
2022-12-04 12:00:00+03:00,81,149,80,30,17,4,5
2022-12-04 12:15:00+03:00,81,157,80,30,18,4,5
2022-12-04 12:30:00+03:00,81,156,80,30,18,4,5
2022-12-04 12:45:00+03:00,79,162,80,30,18,4,5
2022-12-04 13:00:00+03:00,77,175,80,30,19,4,5
2022-12-04 13:15:00+03:00,77,151,80,30,16,4,5
2022-12-04 13:30:00+03:00,72,155,80,30,16,4,5
2022-12-04 13:45:00+03:00,75,161,80,30,17,4,5
2022-12-04 14:00:00+03:00,71,129,80,30,13,3,5
2022-12-04 14:15:00+03:00,69,131,80,30,13,3,5
2022-12-04 14:30:00+03:00,71,137,80,30,14,3,5
2022-12-04 14:45:00+03:00,69,156,80,30,15,3,5
2022-12-04 15:00:00+03:00,67,155,80,30,15,3,4
2022-12-04 15:15:00+03:00,67,184,80,30,17,4,4
2022-12-04 15:30:00+03:00,61,150,80,30,13,3,4
2022-12-04 15:45:00+03:00,65,163,80,30,15,3,4
2022-12-04 16:00:00+03:00,58,141,80,30,12,3,4
2022-12-04 16:15:00+03:00,60,143,80,30,13,3,4
2022-12-04 16:30:00+03:00,61,156,80,30,14,3,4
2022-12-04 16:45:00+03:00,55,150,80,30,12,3,3
2022-12-04 17:00:00+03:00,57,147,80,30,12,3,3
2022-12-04 17:15:00+03:00,53,149,80,30,12,3,3
2022-12-04 17:30:00+03:00,54,145,80,30,12,3,3
2022-12-04 17:45:00+03:00,52,155,80,30,12,3,3
2022-12-04 18:00:00+03:00,49,155,80,30,11,3,3
2022-12-04 18:15:00+03:00,45,146,80,30,10,2,2
2022-12-04 18:30:00+03:00,46,154,80,30,11,3,2
2022-12-04 18:45:00+03:00,46,144,80,30,10,2,2
2022-12-04 19:00:00+03:00,41,141,80,30,9,2,1
2022-12-04 19:15:00+03:00,36,143,80,30,8,2,1
2022-12-04 19:30:00+03:00,37,162,80,30,10,2,1
2022-12-04 19:45:00+03:00,36,174,80,30,10,2,1
2022-12-04 20:00:00+03:00,34,150,80,30,8,2,1
2022-12-04 20:15:00+03:00,30,163,80,30,8,2,1
2022-12-04 20:30:00+03:00,30,142,80,30,7,2,1
2022-12-04 20:45:00+03:00,30,140,80,30,7,2,0
2022-12-04 21:00:00+03:00,28,166,80,30,8,2,0
2022-12-04 21:15:00+03:00,26,195,80,30,8,2,0
2022-12-04 21:30:00+03:00,20,206,80,30,7,2,0
2022-12-04 21:45:00+03:00,24,142,80,30,6,2,0
2022-12-04 22:00:00+03:00,20,181,80,30,7,2,0
2022-12-04 22:15:00+03:00,17,150,80,30,5,1,0
2022-12-04 22:30:00+03:00,14,199,80,30,5,1,0
2022-12-04 22:45:00+03:00,13,119,80,30,4,1,0
2022-12-04 23:00:00+03:00,11,126,80,30,3,1,0
2022-12-04 23:15:00+03:00,10,71,80,30,2,1,0
2022-12-04 23:30:00+03:00,8,93,80,30,2,1,0
2022-12-04 23:45:00+03:00,7,153,80,30,3,1,0
2022-12-05 00:00:00+03:00,7,150,80,30,3,1,0
2022-12-05 00:15:00+03:00,6,83,80,30,2,1,0
2022-12-05 00:30:00+03:00,6,256,80,30,4,1,0
2022-12-05 00:45:00+03:00,7,84,80,30,2,1,0
2022-12-05 01:00:00+03:00,6,147,80,30,3,1,0
2022-12-05 01:15:00+03:00,11,80,80,30,3,1,0
2022-12-05 01:30:00+03:00,13,168,80,30,5,1,0
2022-12-05 01:45:00+03:00,10,143,80,30,4,1,0
2022-12-05 02:00:00+03:00,14,128,80,30,4,1,0
2022-12-05 02:15:00+03:00,16,180,80,30,6,2,0
2022-12-05 02:30:00+03:00,22,124,80,30,5,1,0
2022-12-05 02:45:00+03:00,26,166,80,30,7,2,0
2022-12-05 03:00:00+03:00,39,209,80,30,12,3,0
2022-12-05 03:15:00+03:00,33,214,80,30,11,3,0
2022-12-05 03:30:00+03:00,33,159,80,30,9,2,0
2022-12-05 03:45:00+03:00,45,122,80,30,9,2,0
2022-12-05 04:00:00+03:00,47,153,80,30,11,3,0
2022-12-05 04:15:00+03:00,55,165,80,30,13,3,0
2022-12-05 04:30:00+03:00,57,157,80,30,13,3,0
2022-12-05 04:45:00+03:00,64,154,80,30,14,3,0
2022-12-05 05:00:00+03:00,77,159,80,30,17,4,0
2022-12-05 05:15:00+03:00,97,239,80,30,30,6,0
2022-12-05 05:30:00+03:00,102,242,80,30,32,7,0
2022-12-05 05:45:00+03:00,117,260,80,30,39,8,0
2022-12-05 06:00:00+03:00,118,163,80,30,25,5,5
2022-12-05 06:15:00+03:00,130,507,80,30,81,17,10
2022-12-05 06:30:00+03:00,137,217,80,30,38,8,10
2022-12-05 06:45:00+03:00,156,256,80,30,50,10,10
2022-12-05 07:00:00+03:00,166,376,80,30,76,16,15
2022-12-05 07:15:00+03:00,185,388,80,30,87,18,18
2022-12-05 07:30:00+03:00,218,310,80,30,82,17,21
2022-12-05 07:45:00+03:00,241,270,80,30,79,16,29
2022-12-05 08:00:00+03:00,264,366,80,30,115,23,29
2022-12-05 08:15:00+03:00,294,261,80,30,92,19,32
2022-12-05 08:30:00+03:00,335,359,80,30,142,29,32
2022-12-05 08:45:00+03:00,365,350,80,30,150,30,42
2022-12-05 09:00:00+03:00,419,446,80,30,218,44,48
2022-12-05 09:15:00+03:00,500,350,80,30,204,41,53
2022-12-05 09:30:00+03:00,566,435,80,30,285,57,57
2022-12-05 09:45:00+03:00,600,470,80,30,325,65,62
2022-12-05 10:00:00+03:00,619,471,80,30,336,68,67
2022-12-05 10:15:00+03:00,640,451,80,30,332,67,69
2022-12-05 10:30:00+03:00,650,432,80,30,323,65,75
2022-12-05 10:45:00+03:00,654,467,80,30,351,71,80
2022-12-05 11:00:00+03:00,667,504,80,30,386,78,80
2022-12-05 11:15:00+03:00,670,499,80,30,384,77,80
2022-12-05 11:30:00+03:00,655,474,80,30,357,72,80
2022-12-05 11:45:00+03:00,656,380,80,30,287,58,80
2022-12-05 12:00:00+03:00,655,439,80,30,331,67,81
2022-12-05 12:15:00+03:00,650,582,80,30,434,87,81
2022-12-05 12:30:00+03:00,657,470,80,30,355,71,82
2022-12-05 12:45:00+03:00,652,576,80,30,431,87,85
2022-12-05 13:00:00+03:00,641,454,80,30,335,67,85
2022-12-05 13:15:00+03:00,614,466,80,30,330,66,85
2022-12-05 13:30:00+03:00,613,420,80,30,297,60,85
2022-12-05 13:45:00+03:00,601,469,80,30,325,65,85
2022-12-05 14:00:00+03:00,603,471,80,30,327,66,85
2022-12-05 14:15:00+03:00,609,490,80,30,344,69,85
2022-12-05 14:30:00+03:00,621,431,80,30,309,62,85
2022-12-05 14:45:00+03:00,627,454,80,30,328,66,85
2022-12-05 15:00:00+03:00,612,471,80,30,332,67,80
2022-12-05 15:15:00+03:00,591,415,80,30,283,57,75
2022-12-05 15:30:00+03:00,575,558,80,30,370,74,75
2022-12-05 15:45:00+03:00,564,583,80,30,379,76,75
2022-12-05 16:00:00+03:00,532,504,80,30,310,62,70
